entry,at,order
"Flop:  [10♥, 2♦, Q♥]",2024-07-30T07:45:22.422Z,172232552242200
"""Nate Higgers @ oEbQ63zwKB"" calls 1.00",2024-07-30T07:45:21.589Z,172232552158900
"""andy chen phd @ g8PRZ_B4kf"" folds",2024-07-30T07:45:20.677Z,172232552067700
"""MIKE @ 6p-FLFyf4K"" raises to 1.00",2024-07-30T07:45:17.327Z,172232551732700
"""nitjon @ NvJVXTKmaY"" folds",2024-07-30T07:45:15.366Z,172232551536600
"""justin @ 9ndRxrt-et"" folds",2024-07-30T07:45:13.190Z,172232551319000
"""leafs @ W8l7I4tBkx"" folds",2024-07-30T07:45:12.219Z,172232551221900
"""chris @ ttP9etrJ8B"" folds",2024-07-30T07:45:11.202Z,172232551120200
"""Nate Higgers @ oEbQ63zwKB"" posts a big blind of 0.50",2024-07-30T07:45:09.899Z,172232550989910
"""andy chen phd @ g8PRZ_B4kf"" posts a small blind of 0.25",2024-07-30T07:45:09.899Z,172232550989909
"Your hand is 8♣, 4♠",2024-07-30T07:45:09.899Z,172232550989903
"Player stacks: #1 ""Nate Higgers @ oEbQ63zwKB"" (179.99) | #3 ""chris @ ttP9etrJ8B"" (274.94) | #5 ""leafs @ W8l7I4tBkx"" (134.42) | #7 ""justin @ 9ndRxrt-et"" (37.50) | #8 ""nitjon @ NvJVXTKmaY"" (308.01) | #9 ""MIKE @ 6p-FLFyf4K"" (182.84) | #10 ""andy chen phd @ g8PRZ_B4kf"" (58.75)",2024-07-30T07:45:09.899Z,172232550989901
"-- starting hand #255 (id: swyjlo5jeibh)  (No Limit Texas Hold'em) (dealer: ""MIKE @ 6p-FLFyf4K"") --",2024-07-30T07:45:09.899Z,172232550989900
"""nitjon @ NvJVXTKmaY"" shows a Q♥, A♠.",2024-07-30T07:45:04.233Z,172232550423300
"-- ending hand #254 --",2024-07-30T07:45:03.352Z,172232550335202
"""Nate Higgers @ oEbQ63zwKB"" collected 29.25 from pot with Pair, 7's (combination: 7♥, 7♣, A♣, K♥, 9♦)",2024-07-30T07:45:03.352Z,172232550335201
"""Nate Higgers @ oEbQ63zwKB"" shows a A♣, K♥.",2024-07-30T07:45:03.352Z,172232550335200
"""nitjon @ NvJVXTKmaY"" checks",2024-07-30T07:45:02.466Z,172232550246600
"""Nate Higgers @ oEbQ63zwKB"" checks",2024-07-30T07:45:01.411Z,172232550141100
"River: 8♥, 7♥, 9♦, 2♣ [7♣]",2024-07-30T07:45:00.482Z,172232550048200
"""nitjon @ NvJVXTKmaY"" checks",2024-07-30T07:44:59.654Z,172232549965400
"""Nate Higgers @ oEbQ63zwKB"" checks",2024-07-30T07:44:58.668Z,172232549866800
"Turn: 8♥, 7♥, 9♦ [2♣]",2024-07-30T07:44:57.058Z,172232549705800
"""nitjon @ NvJVXTKmaY"" checks",2024-07-30T07:44:56.237Z,172232549623700
"""Nate Higgers @ oEbQ63zwKB"" checks",2024-07-30T07:44:54.775Z,172232549477500
"Flop:  [8♥, 7♥, 9♦]",2024-07-30T07:44:53.054Z,172232549305400
"""nitjon @ NvJVXTKmaY"" calls 14.25",2024-07-30T07:44:52.225Z,172232549222500
"""Nate Higgers @ oEbQ63zwKB"" raises to 14.25",2024-07-30T07:44:50.883Z,172232549088300
"""andy chen phd @ g8PRZ_B4kf"" folds",2024-07-30T07:44:48.867Z,172232548886700
"""MIKE @ 6p-FLFyf4K"" folds",2024-07-30T07:44:46.464Z,172232548646400
"""nitjon @ NvJVXTKmaY"" raises to 4.50",2024-07-30T07:44:45.534Z,172232548553400
"""justin @ 9ndRxrt-et"" folds",2024-07-30T07:44:43.506Z,172232548350600
"""leafs @ W8l7I4tBkx"" folds",2024-07-30T07:44:41.823Z,172232548182300
"""chris @ ttP9etrJ8B"" folds",2024-07-30T07:44:40.778Z,172232548077800
"""Nate Higgers @ oEbQ63zwKB"" raises to 1.25",2024-07-30T07:44:39.548Z,172232547954800
"""andy chen phd @ g8PRZ_B4kf"" posts a big blind of 0.50",2024-07-30T07:44:35.490Z,172232547549010
"""MIKE @ 6p-FLFyf4K"" posts a small blind of 0.25",2024-07-30T07:44:35.490Z,172232547549009
"Your hand is J♣, K♠",2024-07-30T07:44:35.490Z,172232547549003
"Player stacks: #1 ""Nate Higgers @ oEbQ63zwKB"" (164.99) | #3 ""chris @ ttP9etrJ8B"" (274.94) | #5 ""leafs @ W8l7I4tBkx"" (134.42) | #7 ""justin @ 9ndRxrt-et"" (37.50) | #8 ""nitjon @ NvJVXTKmaY"" (322.26) | #9 ""MIKE @ 6p-FLFyf4K"" (183.09) | #10 ""andy chen phd @ g8PRZ_B4kf"" (59.25)",2024-07-30T07:44:35.490Z,172232547549001
"-- starting hand #254 (id: chlk3b9eshin)  (No Limit Texas Hold'em) (dealer: ""nitjon @ NvJVXTKmaY"") --",2024-07-30T07:44:35.490Z,172232547549000
"-- ending hand #253 --",2024-07-30T07:44:29.535Z,172232546953502
"""MIKE @ 6p-FLFyf4K"" collected 3.00 from pot",2024-07-30T07:44:29.535Z,172232546953501
"Uncalled bet of 3.00 returned to ""MIKE @ 6p-FLFyf4K""",2024-07-30T07:44:29.535Z,172232546953500
"""nitjon @ NvJVXTKmaY"" folds",2024-07-30T07:44:28.702Z,172232546870200
"""MIKE @ 6p-FLFyf4K"" bets 3.00",2024-07-30T07:44:27.716Z,172232546771600
"""nitjon @ NvJVXTKmaY"" checks",2024-07-30T07:44:25.346Z,172232546534600
"Turn: J♥, 5♥, 2♦ [9♥]",2024-07-30T07:44:24.679Z,172232546467900
"""MIKE @ 6p-FLFyf4K"" checks",2024-07-30T07:44:23.827Z,172232546382700
"""nitjon @ NvJVXTKmaY"" checks",2024-07-30T07:44:22.127Z,172232546212700
"Flop:  [J♥, 5♥, 2♦]",2024-07-30T07:44:18.330Z,172232545833000
"""MIKE @ 6p-FLFyf4K"" calls 1.50",2024-07-30T07:44:17.525Z,172232545752500
"""nitjon @ NvJVXTKmaY"" raises to 1.50",2024-07-30T07:44:16.295Z,172232545629500
"""justin @ 9ndRxrt-et"" folds",2024-07-30T07:44:14.225Z,172232545422500
"""leafs @ W8l7I4tBkx"" folds",2024-07-30T07:44:13.260Z,172232545326000
"""chris @ ttP9etrJ8B"" folds",2024-07-30T07:44:11.915Z,172232545191500
"""Nate Higgers @ oEbQ63zwKB"" folds",2024-07-30T07:44:02.744Z,172232544274400
"""andy chen phd @ g8PRZ_B4kf"" folds",2024-07-30T07:44:01.750Z,172232544175000
"""MIKE @ 6p-FLFyf4K"" posts a big blind of 0.50",2024-07-30T07:43:53.539Z,172232543353910
"""nitjon @ NvJVXTKmaY"" posts a small blind of 0.25",2024-07-30T07:43:53.539Z,172232543353909
"Your hand is A♦, 8♥",2024-07-30T07:43:53.539Z,172232543353903
"Player stacks: #1 ""Nate Higgers @ oEbQ63zwKB"" (164.99) | #3 ""chris @ ttP9etrJ8B"" (274.94) | #5 ""leafs @ W8l7I4tBkx"" (134.42) | #7 ""justin @ 9ndRxrt-et"" (37.50) | #8 ""nitjon @ NvJVXTKmaY"" (323.76) | #9 ""MIKE @ 6p-FLFyf4K"" (181.59) | #10 ""andy chen phd @ g8PRZ_B4kf"" (59.25)",2024-07-30T07:43:53.539Z,172232543353901
"-- starting hand #253 (id: hwuekju4ndpg)  (No Limit Texas Hold'em) (dealer: ""justin @ 9ndRxrt-et"") --",2024-07-30T07:43:53.539Z,172232543353900
"""justin @ 9ndRxrt-et"" shows a 7♥, 8♦.",2024-07-30T07:43:47.784Z,172232542778400
"""nitjon @ NvJVXTKmaY"" shows a 6♥, 7♣.",2024-07-30T07:43:47.773Z,172232542777300
"-- ending hand #252 --",2024-07-30T07:43:46.536Z,172232542653602
"""chris @ ttP9etrJ8B"" collected 161.00 from pot with Flush, Qs High (combination: Q♠, J♠, 8♠, 7♠, 2♠)",2024-07-30T07:43:46.536Z,172232542653601
"""chris @ ttP9etrJ8B"" shows a J♠, Q♠.",2024-07-30T07:43:46.536Z,172232542653600
"""nitjon @ NvJVXTKmaY"" calls 60.00",2024-07-30T07:43:45.709Z,172232542570900
"""chris @ ttP9etrJ8B"" bets 60.00",2024-07-30T07:43:44.766Z,172232542476600
"""nitjon @ NvJVXTKmaY"" checks",2024-07-30T07:43:37.969Z,172232541796900
"River: 7♦, 10♣, 2♠, 7♠ [8♠]",2024-07-30T07:43:36.986Z,172232541698600
"""nitjon @ NvJVXTKmaY"" calls 15.00",2024-07-30T07:43:36.183Z,172232541618300
"""chris @ ttP9etrJ8B"" bets 15.00",2024-07-30T07:43:32.684Z,172232541268400
"""nitjon @ NvJVXTKmaY"" checks",2024-07-30T07:43:28.077Z,172232540807700
"Turn: 7♦, 10♣, 2♠ [7♠]",2024-07-30T07:43:27.560Z,172232540756000
"""andy chen phd @ g8PRZ_B4kf"" folds",2024-07-30T07:43:26.746Z,172232540674600
"""nitjon @ NvJVXTKmaY"" calls 2.00",2024-07-30T07:43:25.779Z,172232540577900
"""chris @ ttP9etrJ8B"" bets 2.00",2024-07-30T07:43:24.723Z,172232540472300
"""andy chen phd @ g8PRZ_B4kf"" checks",2024-07-30T07:43:20.744Z,172232540074400
"""nitjon @ NvJVXTKmaY"" checks",2024-07-30T07:43:18.892Z,172232539889200
"Flop:  [7♦, 10♣, 2♠]",2024-07-30T07:43:18.488Z,172232539848800
"""andy chen phd @ g8PRZ_B4kf"" calls 2.25",2024-07-30T07:43:17.670Z,172232539767000
"""nitjon @ NvJVXTKmaY"" calls 2.25",2024-07-30T07:43:16.065Z,172232539606500
"""justin @ 9ndRxrt-et"" folds",2024-07-30T07:43:13.537Z,172232539353700
"""leafs @ W8l7I4tBkx"" folds",2024-07-30T07:43:11.653Z,172232539165300
"""chris @ ttP9etrJ8B"" raises to 2.25",2024-07-30T07:43:10.276Z,172232539027600
"""Nate Higgers @ oEbQ63zwKB"" folds",2024-07-30T07:43:08.170Z,172232538817000
"""andy chen phd @ g8PRZ_B4kf"" calls 0.50",2024-07-30T07:43:07.276Z,172232538727600
"""MIKE @ 6p-FLFyf4K"" folds",2024-07-30T07:43:02.645Z,172232538264500
"""nitjon @ NvJVXTKmaY"" posts a big blind of 0.50",2024-07-30T07:43:00.418Z,172232538041810
"""justin @ 9ndRxrt-et"" posts a small blind of 0.25",2024-07-30T07:43:00.418Z,172232538041809
"Your hand is J♠, Q♠",2024-07-30T07:43:00.418Z,172232538041803
"Player stacks: #1 ""Nate Higgers @ oEbQ63zwKB"" (164.99) | #3 ""chris @ ttP9etrJ8B"" (193.19) | #5 ""leafs @ W8l7I4tBkx"" (134.42) | #7 ""justin @ 9ndRxrt-et"" (37.75) | #8 ""nitjon @ NvJVXTKmaY"" (403.01) | #9 ""MIKE @ 6p-FLFyf4K"" (181.59) | #10 ""andy chen phd @ g8PRZ_B4kf"" (61.50)",2024-07-30T07:43:00.418Z,172232538041801
"-- starting hand #252 (id: pbikai62kybo)  (No Limit Texas Hold'em) (dealer: ""leafs @ W8l7I4tBkx"") --",2024-07-30T07:43:00.418Z,172232538041800
"-- ending hand #251 --",2024-07-30T07:42:57.414Z,172232537741402
"""Nate Higgers @ oEbQ63zwKB"" collected 11.75 from pot",2024-07-30T07:42:57.414Z,172232537741401
