entry,at,order
"The player ""justin @ 9ndRxrt-et"" quits the game with a stack of 56.36.",2024-07-31T11:11:10.381Z,172242427038100
"-- ending hand #318 --",2024-07-31T11:11:07.379Z,172242426737903
"""leafs @ W8l7I4tBkx"" shows a J♣, J♥, J♦, 6♣.",2024-07-31T11:11:07.379Z,172242426737902
"""justin @ 9ndRxrt-et"" collected 1.00 from pot with Flush (combination: A♠, Q♠, 9♠, 7♠, 6♠)",2024-07-31T11:11:07.379Z,172242426737901
"""justin @ 9ndRxrt-et"" shows a A♣, 7♠, 6♠, 10♦.",2024-07-31T11:11:07.379Z,172242426737900
"""leafs @ W8l7I4tBkx"" checks",2024-07-31T11:11:06.567Z,172242426656700
"""justin @ 9ndRxrt-et"" checks",2024-07-31T11:11:05.656Z,172242426565600
"River: A♠, 8♥, Q♠, 9♠ [10♥]",2024-07-31T11:11:05.539Z,172242426553900
"""leafs @ W8l7I4tBkx"" checks",2024-07-31T11:11:04.687Z,172242426468700
"""justin @ 9ndRxrt-et"" checks",2024-07-31T11:11:03.649Z,172242426364900
"Turn: A♠, 8♥, Q♠ [9♠]",2024-07-31T11:11:03.482Z,172242426348200
"""leafs @ W8l7I4tBkx"" checks",2024-07-31T11:11:02.676Z,172242426267600
"""justin @ 9ndRxrt-et"" checks",2024-07-31T11:11:00.409Z,172242426040900
"Flop:  [A♠, 8♥, Q♠]",2024-07-31T11:11:00.280Z,172242426028000
"""justin @ 9ndRxrt-et"" checks",2024-07-31T11:10:59.393Z,172242425939300
"""leafs @ W8l7I4tBkx"" calls 0.50",2024-07-31T11:10:57.617Z,172242425761700
"""justin @ 9ndRxrt-et"" posts a big blind of 0.50",2024-07-31T11:10:54.276Z,172242425427606
"""leafs @ W8l7I4tBkx"" posts a small blind of 0.25",2024-07-31T11:10:54.276Z,172242425427605
"Player stacks: #3 ""leafs @ W8l7I4tBkx"" (247.48) | #10 ""justin @ 9ndRxrt-et"" (55.86)",2024-07-31T11:10:54.276Z,172242425427602
"-- starting hand #318 (id: vq9ugedghrkw)  (Pot Limit Omaha Hi) (dealer: ""leafs @ W8l7I4tBkx"") --",2024-07-31T11:10:54.276Z,172242425427601
"The player ""budizzleeeee @ nYW0w3Siiw"" quits the game with a stack of 360.33.",2024-07-31T11:10:54.276Z,172242425427600
"""leafs @ W8l7I4tBkx"" shows a Q♦, K♥, 4♦, 8♠.",2024-07-31T11:10:50.231Z,172242425023100
"""justin @ 9ndRxrt-et"" shows a 4♣, J♥, A♦, 10♥.",2024-07-31T11:10:48.355Z,172242424835500
"-- ending hand #317 --",2024-07-31T11:10:46.873Z,172242424687302
"""justin @ 9ndRxrt-et"" collected 1.00 from pot",2024-07-31T11:10:46.873Z,172242424687301
"Uncalled bet of 1.00 returned to ""justin @ 9ndRxrt-et""",2024-07-31T11:10:46.873Z,172242424687300
"""leafs @ W8l7I4tBkx"" folds",2024-07-31T11:10:46.026Z,172242424602600
"""justin @ 9ndRxrt-et"" bets 1.00",2024-07-31T11:10:44.366Z,172242424436600
"""leafs @ W8l7I4tBkx"" checks",2024-07-31T11:10:39.852Z,172242423985200
"Flop:  [2♥, 3♣, 4♥]",2024-07-31T11:10:38.315Z,172242423831500
"""justin @ 9ndRxrt-et"" checks",2024-07-31T11:10:37.493Z,172242423749300
"""leafs @ W8l7I4tBkx"" calls 0.50",2024-07-31T11:10:34.968Z,172242423496800
"""budizzleeeee @ nYW0w3Siiw"" folds",2024-07-31T11:10:30.766Z,172242423076600
"""justin @ 9ndRxrt-et"" posts a big blind of 0.50",2024-07-31T11:10:30.737Z,172242423073707
"""leafs @ W8l7I4tBkx"" posts a small blind of 0.25",2024-07-31T11:10:30.737Z,172242423073706
"Player stacks: #2 ""budizzleeeee @ nYW0w3Siiw"" (360.33) | #3 ""leafs @ W8l7I4tBkx"" (247.98) | #10 ""justin @ 9ndRxrt-et"" (55.36)",2024-07-31T11:10:30.737Z,172242423073702
"-- starting hand #317 (id: z2gzdtz0ovnt)  (Pot Limit Omaha Hi) (dealer: ""budizzleeeee @ nYW0w3Siiw"") --",2024-07-31T11:10:30.737Z,172242423073701
"The player ""dj @ nZ3ofTG3j9"" stand up with the stack of 223.86.",2024-07-31T11:10:30.737Z,172242423073700
"-- ending hand #316 --",2024-07-31T11:10:27.709Z,172242422770902
